Disease,Treatments
A Forehead Mass,Endoscopic Excision
Abdominal Pain,Artichoke Extracts ( Cynara Scolymus L. )
Abdominal Tuberculosis,Steroids
Abnormal Uterine Bleeding,Therapeutic Hysteroscopy
Abscesses,Ct-Controlled Drainage With A Basket Catheter System
Acoustic Neuroma,Stereotactic Radiosurgery
Acromegaly,Long-Acting Octreotide ( Sandostatin-Lar )
Acute Abdominal Pain,Opioid Analgesic Administration
Acute And Chronic Thoracic And Abdominal Pain,Thoracic Paravertebral Block ( Tpvb )
Acute Carbon Monoxide Poisoning,Hyperbaric Or Normobaric Oxygen
Acute Cerebral Ischemia,Antiplatelet Therapy
Acute Colonic Pseudo-Obstruction,Neostigmine
Acute Coronary Syndromes,Antithrombotic Therapy
Acute Dental Pain,Acupuncture
Acute Humoral Rejection,Plasma Exchange And Tacrolimus-Mycophenolate Rescue
Acute Leukemia,Phenylbutazone
Acute Lymphoblastic Leukemia And Non-Hodgkin Lymphoma,Chemotherapy
Acute Middle Cerebral Artery Occlusion,Direct Percutaneous Transluminal Angioplasty
Acute Migraine,Serotonin Agonists; Sumatriptan
Acute Myocardial Infarction,Alteplase; Anticoagulants; Continuous Infusion Of Alteplase With Double-Bolus Administration; Intensive Insulin Treatment; Left Ventricular Assist Device; Pharmacological Management; Primary Angioplasty; Thrombolytic Therapy; Thrombolytic Treatment
Acute Nasopharyngitis ( Anp ),Antibiotic Treatment
Acute Nd Chronic Lung Allograft Rejection,Extracorporeal Photopheresis
Acute Occlusion Of The Middle Cerebral Artery,Direct Percutaneous Transluminal Angioplasty ( Pta ); Reperfusion Treatment
Acute Opioid Withdrawal Syndrome,Epidural Morphine; Naloxone
Acute Renal Dysfunction,Continuous Renal Replacement Therapy
Acute Repetitive Seizures,Rectal Diazepam Gel
Acute Respiratory Distress Syndrome,Ventilation Strategy
Acute Respiratory Failure,Conventional Mechanical Ventilation; Noninvasive Positive-Pressure Ventilation
Acute Severe Asthma,Heliox
Acute Thrombotic Disorders,Anticoagulants; Antithrombotic Agents; Heparin
Adhd,Methylphenidate
Adult Urinary Incontinence,Pelvic Floor Stimulation
Advanced Carcinoma Of The Esophagus And Cardia,Esophageal Intubation
Advanced Epithelial Ovarian Cancer,Surgery
Advanced Esophageal Cancer,"Adjuvant Chemoradiotherapy With Cddp , 5-Fu , And Vp-16"
Advanced Hormone Refractory Prostate Cancer,Mitoxantrone; Paclitaxel And Carboplatin
Advanced Lung Cancer,Endobronchial Treatment Modalities
Advanced Malignant Melanoma,Recombinant Interferon Alfa-2A; Rifn-Alpha A
Advanced Mcv Lesions,Cidofovir
Advanced Non -- Small-Cell Lung Cancer,Paclitaxel Plus Carboplatin ( Pc ); Pc; Vc; Vinorelbine Plus Cisplatin ( Vc )
Advanced Non-Small Cell Lung Cancer,Gemcitabine And Carboplatin
Advanced Nonsmall Cell Lung Carcinoma ( Nsclc ),Carboplatin Plus Gemcitabine Followed By Of Paclitaxel; Sequential Chemotherapy
Advanced Nsclc,"Aggressive Chemotherapeutic Combinations; Chemotherapy; Combination Chemotherapy Of Cisplatin , Ifosfamide And Irinotecan With Rhg-Csf Support; Cpt-11 And Cddp"
Advanced Ovarian Cancer,Cisplatin; Cisplatin/Cyclophosphamide; Cyclophosphamide; Oxaliplatin/Cyclophosphamide
Advanced Parkinson 'S Disease,Unilateral Microelectrode-Guided Posteroventral Pallidotomy
Advanced Prostatic Cancer,Orchiectomy Or Oestrogen
Advanced Rectal Cancer,Nerve-Sparing Surgery
Advanced Recurrent Malignant Cns Tumors,Daunorubicin-Containing Liposomes
Advanced Renal Cell Carcinoma,Interferon Alfa-2A; Interferon Alfa-2B; Interferon Alfa-N1; Interferon Alpha Preparations; Interferons
Advanced Sarcomas,Chemotherapy
Advanced Stage ( Tnm Iib-Ivb ) Mycosis Fungoides,"Combination Chemotherapy Program Consisting Of Bleomycin And Methotrexate Weekly , Doxorubicin Every 3 Weeks , And Topical Nitrogen Mustard Daily ( Bam-M )"
Advanced Stage Mycosis Fungoides,"Bam-M; Bleomycin , Doxorubicin , And Methotrexate With Topical Nitrogen Mustard ( Bam-M )"
Aecb,Gemifloxacin
